school,schgend,type,schavg,student,intake,sex,vr,normexam,standLRT
1,mixed,Mxd,0.1661752,1,bottom 25%,F,mid 50%,1.5061852,0.7843622
1,mixed,Mxd,0.1661752,4,mid 50%,F,mid 50%,-0.555112,-1.03397
1,mixed,Mxd,0.1661752,6,mid 50%,M,mid 50%,-1.335315,-0.951318
1,mixed,Mxd,0.1661752,7,top 25%,M,mid 50%,-0.555112,-2.356393
1,mixed,Mxd,0.1661752,13,mid 50%,M,mid 50%,-0.197611,-0.290107
1,mixed,Mxd,0.1661752,14,mid 50%,M,mid 50%,-0.197611,0.0404992
1,mixed,Mxd,0.1661752,16,bottom 25%,F,mid 50%,2.3136012,0.7843622
1,mixed,Mxd,0.1661752,17,mid 50%,F,mid 50%,-0.062088,-0.703364
1,mixed,Mxd,0.1661752,22,mid 50%,M,mid 50%,0.4781942,-0.290107
1,mixed,Mxd,0.1661752,27,mid 50%,M,mid 50%,0.1340672,0.1231502
1,mixed,Mxd,0.1661752,28,bottom 25%,M,mid 50%,2.3136012,0.6190592
1,mixed,Mxd,0.1661752,31,mid 50%,M,mid 50%,-0.197611,0.2884532
1,mixed,Mxd,0.1661752,36,mid 50%,F,mid 50%,1.0396082,-0.290107
1,mixed,Mxd,0.1661752,43,bottom 25%,M,mid 50%,0.8219882,0.7843622
1,mixed,Mxd,0.1661752,56,bottom 25%,M,mid 50%,1.4395322,0.8670142
1,mixed,Mxd,0.1661752,57,mid 50%,M,mid 50%,-0.129085,-0.124804
1,mixed,Mxd,0.1661752,59,top 25%,M,mid 50%,-1.029067,-1.281924
1,mixed,Mxd,0.1661752,62,bottom 25%,M,mid 50%,1.8138272,0.4537562
1,mixed,Mxd,0.1661752,63,bottom 25%,F,mid 50%,0.7472282,1.2802712
1,mixed,Mxd,0.1661752,64,mid 50%,F,mid 50%,-1.118624,-0.868667
1,mixed,Mxd,0.1661752,65,bottom 25%,M,mid 50%,0.8965662,0.8670142
